Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
BTH26,2026-03-13,70445,74210,70195,71325,680,+0.96%,16604,22511
BTH26,2026-03-16,72245,74745,71845,74120,2795,+3.92%,12544,23016
BTH26,2026-03-17,74655,76190,73305,74685,565,+0.76%,9740,23807
BTH26,2026-03-18,74765,74905,70585,71115,-3570.,-4.78%,13162,23482
BTH26,2026-03-19,71275,71755,68835,70360,-755.,-1.06%,9592,23438
BTH26,2026-03-20,70430,71480,69440,70220,-140.,-0.20%,14604,23239
BTH26,2026-03-23,67995,71880,67460,70735,515,+0.73%,21341,23298
BTJ26,2026-03-24,70880,71725,69165,69615,-1120.,-1.58%,20927,23268
BTJ26,2026-03-25,70555,72345,70405,71140,1525,+2.19%,19936,23387
BTJ26,2026-03-26,71350,71820,68340,68770,-2370.,-3.33%,19762,23625
BTJ26,2026-03-27,69200,69340,65710,66225,-2545.,-3.70%,9621,21135
BTJ26,2026-03-30,66765,68420,65090,66675,450,+0.68%,8624,20490
BTJ26,2026-03-31,67200,68805,66125,68035,1360,+2.04%,10888,20631
BTJ26,2026-04-01,68510,69585,67750,68340,305,+0.45%,8337,21180
BTJ26,2026-04-02,68500,68880,65850,67180,-1160.,-1.70%,10964,21244
BTJ26,2026-04-03,67170,67625,66480,67165,-15.,-0.02%,1441,21320
BTJ26,2026-04-06,67755,70605,67555,69945,2780,+4.14%,13056,22914
BTJ26,2026-04-07,69780,69800,67835,69170,-775.,-1.11%,10086,22308
BTJ26,2026-04-08,70055,73080,70055,71475,2305,+3.33%,15507,22906
BTJ26,2026-04-09,71690,72800,70650,72290,815,+1.14%,8561,23472
BTJ26,2026-04-10,72510,73820,71570,73485,1195,+1.65%,8809,23827
BTJ26,2026-04-13,71520,73660,70535,73505,20,+0.03%,12213,23312
