Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
ERM24,2024-06-10,3741.5,3742.5,3662,3690,-19.5,-0.53%,2658,6756
ERM24,2024-06-11,3682.5,3695,3440.5,3508,-182.,-4.93%,6711,7088
ERM24,2024-06-12,3512.5,3672,3471.5,3541.5,33.5,+0.95%,4321,7096
ERM24,2024-06-13,3575.5,3582.5,3436,3493.5,-48.,-1.36%,4528,7317
ERM24,2024-06-14,3501,3544.5,3368.5,3410,-83.5,-2.39%,3071,7421
ERM24,2024-06-17,3575,3671.5,3473,3563.5,153.5,+4.50%,5825,7304
ERM24,2024-06-18,3535,3538,3354,3427,-136.5,-3.83%,4356,7327
ERM24,2024-06-20,3467,3629,3467,3535.5,108.5,+3.17%,9326,7470
ERM24,2024-06-21,3520.5,3549.5,3445.5,3534.5,-1.,-0.03%,5771,7475
ERM24,2024-06-24,3430.5,3432,3227.5,3287,-247.5,-7.00%,8752,7550
ERM24,2024-06-25,3342.5,3428.5,3326,3417,130,+3.95%,8099,7450
ERN24,2024-06-26,3420,3446,3338,3423,6,+0.18%,7290,7252
ERN24,2024-06-27,3404.5,3494.5,3374,3463,40,+1.17%,7238,7225
ERN24,2024-06-28,3462,3506.5,3370,3381,-82.,-2.37%,4305,6471
ERN24,2024-07-01,3419,3542,3418.5,3489.5,108.5,+3.21%,3677,6259
ERN24,2024-07-02,3477.5,3481.5,3405.5,3421.5,-68.,-1.95%,2305,6461
ERN24,2024-07-03,3426,3440,3256,3266.5,-155.,-4.53%,3977,6845
ERN24,2024-07-05,3305,3316,2813.5,2997,-269.5,-8.25%,10260,6436
ERN24,2024-07-08,2972.5,3107.5,2832.5,3014.5,17.5,+0.58%,7542,6283
ERN24,2024-07-09,3028,3122.5,3010.5,3075.5,61,+2.02%,3163,6462
ERN24,2024-07-10,3073.5,3160.5,3030.5,3117,41.5,+1.35%,3630,6549
ERN24,2024-07-11,3101.5,3225,3058.5,3114.5,-2.5,-0.08%,3267,6663
ERN24,2024-07-12,3118,3168,3051,3126.5,12,+0.39%,3766,6612
ERN24,2024-07-15,3236.5,3464,3236.5,3422.5,296,+9.47%,5668,6527
ERN24,2024-07-16,3441.5,3511,3359,3490,67.5,+1.97%,4885,6772
ERN24,2024-07-17,3454,3532,3386,3426.5,-63.5,-1.82%,3648,6946
ERN24,2024-07-18,3422,3502.5,3375.5,3412.5,-14.,-0.41%,4524,7033
ERN24,2024-07-19,3432,3556,3384.5,3537.5,125,+3.66%,7219,7427
ERN24,2024-07-22,3532.5,3572.5,3441,3505.5,-32.,-0.90%,7613,7420
ERN24,2024-07-23,3473.5,3548,3392,3459,-46.5,-1.33%,14736,7661
ERQ24,2024-07-24,3505,3537,3393,3398,-61.,-1.76%,9085,7265
ERQ24,2024-07-25,3369.5,3376,3112.5,3153.5,-244.5,-7.20%,12070,6645
ERQ24,2024-07-26,3202.5,3318.5,3187.5,3307,153.5,+4.87%,3758,6283
ERQ24,2024-07-29,3291.5,3430,3281.5,3336.5,29.5,+0.89%,3945,6386
ERQ24,2024-07-30,3356.5,3395.5,3258,3294.5,-42.,-1.26%,3456,6243
ERQ24,2024-07-31,3307,3377,3244,3292,-2.5,-0.08%,3098,6245
ERQ24,2024-08-01,3268.5,3269.5,3096.5,3155,-137.,-4.16%,3140,6303
ERQ24,2024-08-02,3194,3241.5,3000.5,3025,-130.,-4.12%,4114,6333
ERQ24,2024-08-05,2737,2765,2175.5,2424.5,-600.5,-19.85%,14818,6789
ERQ24,2024-08-06,2442,2567,2425.5,2509,84.5,+3.49%,4887,6703
ERQ24,2024-08-07,2507,2565,2320,2362.5,-146.5,-5.84%,3499,6716
ERQ24,2024-08-08,2368.5,2619.5,2324,2586.5,224,+9.48%,3640,6702
ERQ24,2024-08-09,2655,2736,2564,2602,15.5,+0.60%,3501,6801
ERQ24,2024-08-12,2582.5,2733,2519.5,2668.5,66.5,+2.56%,3534,6732
ERQ24,2024-08-13,2697,2757.5,2619,2724,55.5,+2.08%,3047,6836
ERQ24,2024-08-14,2737,2783,2640,2679,-45.,-1.65%,3317,6966
ERQ24,2024-08-15,2674,2683.5,2523.5,2556,-123.,-4.59%,2990,6941
ERQ24,2024-08-16,2570.5,2640.5,2559,2635.5,79.5,+3.11%,3810,6795
ERQ24,2024-08-19,2657,2672,2571.5,2616,-19.5,-0.74%,2933,6939
ERQ24,2024-08-20,2625,2707.5,2560.5,2607,-9.,-0.34%,4443,7337
ERQ24,2024-08-21,2590,2671,2542.5,2657.5,50.5,+1.94%,4367,7497
ERQ24,2024-08-22,2646,2650.5,2588.5,2608.5,-49.,-1.84%,4263,7367
ERQ24,2024-08-23,2628.5,2771.5,2621.5,2757,148.5,+5.69%,7949,6981
ERQ24,2024-08-26,2788.5,2794.5,2675,2681,-76.,-2.76%,7044,6548
ERQ24,2024-08-27,2690,2701.5,2560,2581.5,-99.5,-3.71%,7593,6977
ERU24,2024-08-28,2521,2568,2413,2523,-58.5,-2.27%,9270,6773
ERU24,2024-08-29,2543.5,2611.5,2524.5,2547,24,+0.95%,7107,6616
ERU24,2024-08-30,2540.5,2562.5,2441.5,2522.5,-24.5,-0.96%,3974,5858
ERU24,2024-09-03,2494,2575,2409,2455.5,-67.,-2.66%,4300,5939
ERU24,2024-09-04,2472,2503.5,2314.5,2466.5,11,+0.45%,3587,6095
ERU24,2024-09-05,2481.5,2483.5,2358,2372,-94.5,-3.83%,2212,6172
ERU24,2024-09-06,2385,2420,2170,2228.5,-143.5,-6.05%,4870,6320
ERU24,2024-09-09,2282,2364.5,2281.5,2360.5,132,+5.92%,3934,6332
ERU24,2024-09-10,2378.5,2404,2326,2392.5,32,+1.36%,2107,6204
ERU24,2024-09-11,2382,2410.5,2280.5,2351.5,-41.,-1.71%,4035,6202
ERU24,2024-09-12,2350.5,2402,2319.5,2369,17.5,+0.74%,2001,6275
ERU24,2024-09-13,2358.5,2438,2344,2428,59,+2.49%,3760,6376
ERU24,2024-09-16,2360,2361.5,2253.5,2277.5,-150.5,-6.20%,5780,6547
ERU24,2024-09-17,2298.5,2398.5,2265.5,2358,80.5,+3.53%,4302,6718
ERU24,2024-09-18,2348.5,2368,2280.5,2317,-41.,-1.74%,4384,6818
ERU24,2024-09-19,2336,2499.5,2336,2466.5,149.5,+6.45%,5570,6767
ERU24,2024-09-20,2468.5,2579,2441,2545,78.5,+3.18%,5381,6757
ERU24,2024-09-23,2555.5,2708,2532,2675,130,+5.11%,7782,6812
ERU24,2024-09-24,2653.5,2671.5,2595,2656,-19.,-0.71%,7670,6489
ERV24,2024-09-25,2690,2696.5,2582.5,2590,-66.,-2.48%,8076,6372
ERV24,2024-09-26,2600,2689,2573.5,2672,82,+3.17%,7567,6385
ERV24,2024-09-27,2665,2753,2631.5,2724,52,+1.95%,4177,6205
ERV24,2024-09-30,2672,2691,2588,2609.5,-114.5,-4.20%,3273,6179
ERV24,2024-10-01,2624,2673.5,2425,2496,-113.5,-4.35%,5003,6087
ERV24,2024-10-02,2470,2506.5,2370,2381.5,-114.5,-4.59%,3925,6208
ERV24,2024-10-03,2388.5,2409.5,2316.5,2361,-20.5,-0.86%,3711,6393
ERV24,2024-10-04,2359,2453,2344.5,2440.5,79.5,+3.37%,4104,6442
ERV24,2024-10-07,2429,2530.5,2425.5,2451,10.5,+0.43%,3902,6318
ERV24,2024-10-08,2455.5,2463.5,2406.5,2446,-5.,-0.20%,2606,6198
ERV24,2024-10-09,2464,2480,2357,2423,-23.,-0.94%,3678,6285
ERV24,2024-10-10,2380,2426,2332,2370.5,-52.5,-2.17%,3585,6534
ERV24,2024-10-11,2387.5,2479.5,2375,2466,95.5,+4.03%,3613,6121
ERV24,2024-10-14,2475,2652.5,2448.5,2632.5,166.5,+6.75%,5057,6740
ERV24,2024-10-15,2634,2698,2544,2599.5,-33.,-1.25%,7380,6413
