"Date","BTCUSD Return","BTCUSD Close","MBB Return","MBB Close","MBB Adj. Close","MUB Return","MUB Close","MUB Adj. Close","AGG Return","AGG Close","AGG Adj. Close","US10Y Return","US10Y Close","US10YT Return","US10YT Close","US5Y Return","US5Y Close","US30Y Return","US30Y Close","US2Y Return","US2Y Close"
04-28-2025,2.1091,94498.19,0.0785,93.51,89.00,0.0328,104.25,100.70,0.0809,98.87,94.43,0.0926,0.04211,0.1853,0.01951,-0.0806,0.03809,0.1981,0.04687,-0.2413,0.03701
04-29-2025,2.1213,94866.48,0.0814,93.76,89.24,0.0341,104.38,100.82,0.0836,99.11,94.66,0.0848,0.04181,0.1804,0.01943,-0.0900,0.03770,0.1899,0.04655,-0.2505,0.03656
04-30-2025,2.1117,94577.56,0.0817,93.79,89.27,0.0376,104.73,101.16,0.0826,99.02,94.57,0.0804,0.04164,0.1810,0.01944,-0.0990,0.03733,0.1984,0.04688,-0.2589,0.03615
05-01-2025,2.1738,96463.00,0.0778,93.13,88.95,0.0370,104.39,101.11,0.0796,98.43,94.31,0.0952,0.04221,0.2029,0.01980,-0.0784,0.03818,0.2073,0.04723,-0.2396,0.03709
05-02-2025,2.1935,97062.00,0.0719,92.62,88.46,0.0356,104.25,100.97,0.0744,97.95,93.85,0.1194,0.04314,0.2400,0.02041,-0.0538,0.03920,0.2237,0.04787,-0.2144,0.03832
05-03-2025,2.1705,96362.85,,,,,,,,,,,,,,,,,,,
05-04-2025,2.1498,95735.60,,,,,,,,,,,,,,,,,,,
05-05-2025,2.1007,94242.18,0.0695,92.41,88.26,0.0332,104.00,100.73,0.0725,97.78,93.69,0.1284,0.04349,0.2564,0.02068,-0.0478,0.03945,0.2370,0.04839,-0.2122,0.03843
05-06-2025,2.1158,94699.84,0.0740,92.80,88.63,0.0371,104.40,101.12,0.0751,98.02,93.92,0.1162,0.04302,0.2272,0.02020,-0.0591,0.03898,0.2272,0.04801,-0.2228,0.03791
05-07-2025,2.1850,96804.91,0.0769,93.05,88.87,0.0384,104.53,101.24,0.0768,98.17,94.07,0.1090,0.04274,0.2132,0.01997,-0.0659,0.03870,0.2214,0.04778,-0.2232,0.03789
05-08-2025,2.3755,102592.90,0.0703,92.48,88.33,0.0351,104.19,100.91,0.0712,97.66,93.58,0.1367,0.04381,0.2521,0.02061,-0.0364,0.03992,0.2275,0.04802,-0.2042,0.03882
05-09-2025,2.3958,103211.32,0.0726,92.68,88.52,0.0359,104.28,101.00,0.0723,97.76,93.67,0.1388,0.04389,0.2552,0.02066,-0.0309,0.04015,0.2372,0.04840,-0.1984,0.03910
05-10-2025,2.3955,103201.77,,,,,,,,,,,,,,,,,,,
05-11-2025,2.4315,104296.29,,,,,,,,,,,,,,,,,,,
05-12-2025,2.3787,102690.29,0.0666,92.16,88.02,0.0353,104.21,100.93,0.0687,97.43,93.36,0.1609,0.04474,0.2995,0.02139,-0.0058,0.04119,0.2572,0.04918,-0.1728,0.04035
05-13-2025,2.4409,104580.58,0.0656,92.07,87.94,0.0374,104.43,101.14,0.0676,97.33,93.26,0.1606,0.04473,0.3080,0.02153,-0.0097,0.04103,0.2546,0.04908,-0.1769,0.04015
05-14-2025,2.4080,103580.59,0.0608,91.66,87.54,0.0334,104.02,100.75,0.0645,97.05,92.99,0.1775,0.04538,0.3019,0.02143,0.0060,0.04168,0.2717,0.04975,-0.1683,0.04057
05-15-2025,2.4039,103457.38,0.0686,92.33,88.18,0.0372,104.41,101.13,0.0705,97.60,93.52,0.1508,0.04435,0.2776,0.02103,-0.0200,0.04060,0.2508,0.04893,-0.1837,0.03982
05-16-2025,2.4125,103718.91,0.0691,92.37,88.22,0.0382,104.51,101.22,0.0712,97.66,93.58,0.1635,0.04484,0.2655,0.02083,-0.0123,0.04092,0.2664,0.04954,-0.1771,0.04014
05-17-2025,2.4022,103406.89,,,,,,,,,,,,,,,,,,,
05-18-2025,2.4255,104112.36,,,,,,,,,,,,,,,,,,,
05-19-2025,2.4693,105445.90,0.0684,92.31,88.16,0.0375,104.44,101.15,0.0708,97.63,93.55,0.1557,0.04454,0.2758,0.02100,-0.0186,0.04066,0.2538,0.04905,-0.1843,0.03979
05-20-2025,2.5190,106956.67,0.0653,92.05,87.92,0.0350,104.18,100.90,0.0690,97.46,93.39,0.1653,0.04491,0.2849,0.02115,-0.0169,0.04073,0.2728,0.04979,-0.1847,0.03977
05-21-2025,2.5632,108297.51,0.0579,91.41,87.31,0.0300,103.68,100.42,0.0620,96.82,92.77,0.1949,0.04605,0.3487,0.02220,0.0077,0.04175,0.3011,0.05090,-0.1738,0.04030
05-22-2025,2.6556,111106.44,0.0599,91.58,87.47,0.0302,103.70,100.44,0.0650,97.10,93.04,0.1780,0.04540,0.3281,0.02186,-0.0089,0.04106,0.2901,0.05047,-0.1798,0.04001
05-23-2025,2.5620,108261.23,0.0627,91.82,87.70,0.0307,103.75,100.49,0.0666,97.24,93.17,0.1723,0.04518,0.3104,0.02157,-0.0138,0.04086,0.2886,0.05041,-0.1792,0.04004
05-24-2025,2.5827,108890.37,,,,,,,,,,,,,,,,,,,
05-25-2025,2.5435,107701.14,,,,,,,,,,,,,,,,,,,
05-26-2025,2.6068,109623.61,,,,,,,,,,0.1702,0.04510,0.3026,0.02144,-0.0140,0.04085,0.2863,0.05032,-0.1800,0.04000
05-27-2025,2.6059,109596.88,0.0665,92.15,88.01,0.0339,104.07,100.80,0.0714,97.68,93.60,0.1544,0.04449,0.2704,0.02091,-0.0253,0.04038,0.2687,0.04963,-0.1827,0.03987
05-28-2025,2.5318,107344.60,0.0655,92.06,87.93,0.0321,103.89,100.62,0.0694,97.50,93.42,0.1632,0.04483,0.2940,0.02130,-0.0174,0.04071,0.2730,0.04980,-0.1800,0.04000
05-29-2025,2.4935,106181.40,0.0697,92.43,88.28,0.0331,103.99,100.72,0.0734,97.86,93.77,0.1479,0.04424,0.2728,0.02095,-0.0319,0.04011,0.2577,0.04920,-0.1909,0.03947
05-30-2025,2.4417,104604.76,0.0723,92.65,88.49,0.0317,103.85,100.58,0.0760,98.10,94.00,0.1437,0.04408,0.2533,0.02063,-0.0422,0.03968,0.2625,0.04939,-0.1989,0.03908
05-31-2025,2.4495,104843.99,,,,,,,,,,,,,,,,,,,
06-01-2025,2.4550,105011.27,,,,,,,,,,,,,,,,,,,
06-02-2025,2.4531,104952.39,0.0688,92.02,88.20,0.0287,103.28,100.30,0.0732,97.52,93.75,0.1546,0.04450,0.2813,0.02109,-0.0321,0.04010,0.2699,0.04968,-0.1904,0.03949
06-03-2025,2.4815,105814.40,0.0682,91.97,88.15,0.0289,103.30,100.32,0.0724,97.45,93.68,0.1598,0.04470,0.2843,0.02114,-0.0278,0.04028,0.2753,0.04989,-0.1876,0.03963
06-04-2025,2.4443,104684.78,0.0753,92.58,88.73,0.0314,103.55,100.56,0.0788,98.03,94.24,0.1310,0.04359,0.2424,0.02045,-0.0507,0.03933,0.2477,0.04881,-0.2040,0.03883
06-05-2025,2.3065,100496.42,0.0713,92.24,88.41,0.0313,103.54,100.55,0.0760,97.78,94.00,0.1393,0.04391,0.2673,0.02086,-0.0336,0.04004,0.2459,0.04874,-0.1948,0.03928
